latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.5,13.5,38.0,0,GMT,GMT

time,temperature_2m (°C)
2024-12-28T00:00,0.2
2024-12-28T01:00,-0.1
2024-12-28T02:00,-0.2
2024-12-28T03:00,-0.4
2024-12-28T04:00,-0.6
2024-12-28T05:00,-0.9
2024-12-28T06:00,-1.0
2024-12-28T07:00,-1.1
2024-12-28T08:00,-1.1
2024-12-28T09:00,-1.0
2024-12-28T10:00,-0.9
2024-12-28T11:00,-0.6
2024-12-28T12:00,-0.4
2024-12-28T13:00,-0.3
2024-12-28T14:00,-0.3
2024-12-28T15:00,-0.4
2024-12-28T16:00,-0.5
2024-12-28T17:00,-0.6
2024-12-28T18:00,-0.8
2024-12-28T19:00,-1.0
2024-12-28T20:00,-1.4
2024-12-28T21:00,-1.6
2024-12-28T22:00,-1.8
2024-12-28T23:00,-2.0
2024-12-29T00:00,-2.0
2024-12-29T01:00,-2.0
2024-12-29T02:00,-1.9
2024-12-29T03:00,-1.8
2024-12-29T04:00,-1.6
2024-12-29T05:00,-1.4
2024-12-29T06:00,-1.2
2024-12-29T07:00,-1.0
2024-12-29T08:00,-0.9
2024-12-29T09:00,-0.7
2024-12-29T10:00,-0.6
2024-12-29T11:00,-0.5
2024-12-29T12:00,-0.4
2024-12-29T13:00,-0.3
2024-12-29T14:00,-0.2
2024-12-29T15:00,-0.1
2024-12-29T16:00,0.2
2024-12-29T17:00,0.4
2024-12-29T18:00,0.8
2024-12-29T19:00,1.1
2024-12-29T20:00,1.5
2024-12-29T21:00,1.9
2024-12-29T22:00,2.1
2024-12-29T23:00,2.3
2024-12-30T00:00,2.5
2024-12-30T01:00,2.8
2024-12-30T02:00,3.1
2024-12-30T03:00,3.4
2024-12-30T04:00,3.7
2024-12-30T05:00,4.0
2024-12-30T06:00,4.3
2024-12-30T07:00,4.5
2024-12-30T08:00,4.8
2024-12-30T09:00,4.9
2024-12-30T10:00,5.2
2024-12-30T11:00,5.4
2024-12-30T12:00,5.6
2024-12-30T13:00,5.7
2024-12-30T14:00,5.7
2024-12-30T15:00,5.6
2024-12-30T16:00,5.5
2024-12-30T17:00,5.3
2024-12-30T18:00,5.2
2024-12-30T19:00,5.1
2024-12-30T20:00,4.9
2024-12-30T21:00,4.9
2024-12-30T22:00,5.0
2024-12-30T23:00,5.2
2024-12-31T00:00,5.3
2024-12-31T01:00,5.3
2024-12-31T02:00,5.4
2024-12-31T03:00,5.4
2024-12-31T04:00,5.3
2024-12-31T05:00,5.2
2024-12-31T06:00,5.1
2024-12-31T07:00,4.9
2024-12-31T08:00,4.8
2024-12-31T09:00,4.8
2024-12-31T10:00,4.7
2024-12-31T11:00,4.7
2024-12-31T12:00,4.7
2024-12-31T13:00,4.6
2024-12-31T14:00,4.4
2024-12-31T15:00,4.3
2024-12-31T16:00,4.0
2024-12-31T17:00,3.5
2024-12-31T18:00,3.2
2024-12-31T19:00,3.1
2024-12-31T20:00,3.1
2024-12-31T21:00,3.2
2024-12-31T22:00,3.5
2024-12-31T23:00,3.8
2025-01-01T00:00,4.2
2025-01-01T01:00,4.6
2025-01-01T02:00,5.1
2025-01-01T03:00,5.6
2025-01-01T04:00,5.9
2025-01-01T05:00,6.3
2025-01-01T06:00,6.7
2025-01-01T07:00,7.1
2025-01-01T08:00,7.6
2025-01-01T09:00,7.9
2025-01-01T10:00,8.1
2025-01-01T11:00,8.4
2025-01-01T12:00,8.4
2025-01-01T13:00,8.1
2025-01-01T14:00,7.6
2025-01-01T15:00,7.1
2025-01-01T16:00,6.5
2025-01-01T17:00,5.9
2025-01-01T18:00,5.7
2025-01-01T19:00,5.9
2025-01-01T20:00,6.4
2025-01-01T21:00,6.9
2025-01-01T22:00,7.1
2025-01-01T23:00,7.2
2025-01-02T00:00,7.2
2025-01-02T01:00,7.3
2025-01-02T02:00,7.3
2025-01-02T03:00,7.3
2025-01-02T04:00,7.3
2025-01-02T05:00,7.2
2025-01-02T06:00,7.2
2025-01-02T07:00,7.4
2025-01-02T08:00,7.7
2025-01-02T09:00,8.1
2025-01-02T10:00,8.6
2025-01-02T11:00,9.2
2025-01-02T12:00,9.3
2025-01-02T13:00,8.4
2025-01-02T14:00,6.9
2025-01-02T15:00,5.6
2025-01-02T16:00,4.1
2025-01-02T17:00,2.7
2025-01-02T18:00,2.0
2025-01-02T19:00,2.8
2025-01-02T20:00,4.3
2025-01-02T21:00,5.4
2025-01-02T22:00,5.3
2025-01-02T23:00,4.8
2025-01-03T00:00,4.2
2025-01-03T01:00,3.5
2025-01-03T02:00,2.8
2025-01-03T03:00,2.1
2025-01-03T04:00,1.5
2025-01-03T05:00,0.9
2025-01-03T06:00,0.6
2025-01-03T07:00,0.9
2025-01-03T08:00,1.5
2025-01-03T09:00,2.2
2025-01-03T10:00,2.8
2025-01-03T11:00,3.5
2025-01-03T12:00,3.8
2025-01-03T13:00,3.7
2025-01-03T14:00,3.2
2025-01-03T15:00,2.7
2025-01-03T16:00,2.1
2025-01-03T17:00,1.5
2025-01-03T18:00,1.0
2025-01-03T19:00,0.6
2025-01-03T20:00,0.4
2025-01-03T21:00,0.3
2025-01-03T22:00,0.2
2025-01-03T23:00,0.0
